Client_ID,Client_Name,Business,Client_Group,Status,Waves,Division,Vertical,Business_Model,Frequency,Primary_KPI,Comparison
S021,Sit Means Sit - Philadelphia,Sit Means Sit,Sit Means Sit (Melissa O'Donnell Group),Active,2,Echo,Lifestyle,B2C,Monthly,Leads,Last Year Same Period
S022,Sit Means Sit - South Chicagoland,Sit Means Sit,Sit Means Sit (Melissa O'Donnell Group),Inactive,,Echo,Lifestyle,B2C,Monthly,Leads,Last Year Same Period
S023,Sit Means Sit - South Denver,Sit Means Sit,Sit Means Sit (Melissa O'Donnell Group),Inactive,,Echo,Lifestyle,B2C,Monthly,Leads,Last Year Same Period
S024,Sit Means Sit - SW Florida,Sit Means Sit,Sit Means Sit (Melissa O'Donnell Group),Active,2,Echo,Lifestyle,B2C,Monthly,Leads,Last Year Same Period
S025,Sit Means Sit - Towson (MD),Sit Means Sit,Sit Means Sit (MD & DE),Inactive,,Echo,Lifestyle,B2C,Monthly,Leads,Last Year Same Period
S026,Stopwatch Urgent Care,Carolina QuickCare,Carolina QuickCare,Active,2,Echo,Medical,B2C,Monthly,Clicks,Last Year Same Period
S027,Smart Choice Realty,Smart Choice Realty,Smart Choice Realty,Active,2,Echo,Professional Services,B2C,Monthly,Leads,Previous Period
S028,Sunbrella,Sunbrella,Sunbrella,Active,2,Echo,Home Services,B2C,Monthly,Leads,Previous Period
S029,Sierra Structures,Sierra Structures,Sierra Structures,Active,2,Echo,Home Services,B2C,Monthly,Leads,Previous Period
T001,"Tands, Inc. | Bojangles",Bojangles,Bojangles - Tands,Active,2,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
T002,Terminix Triad,Terminix Triad,Terminix Triad,Active,2,Echo,Home Services,B2C,Monthly,Website Conversions,Previous Period
T003,Trane Commercial,Trane Commercial,Trane Commercial,Active,2,Enterprise,Home Services,B2B,Monthly,Ad Conversions,Previous Period
T016,Trane Technologies,Trane Technologies,Trane Technologies,Active,2,Enterprise,Professional Services,B2B,Monthly,Ad Conversions,Previous Period
T017,"Tri-Arc Food Systems, Inc. | Bojangles",Bojangles,Bojangles - Tri-Arc,Active,2,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
T018,Trilogy Contracting Group (TCG),Trilogy Contracting Group (TCG),Trilogy Contracting Group (TCG),Active,1,Echo,Home Services,B2C,Monthly,Clicks,Last Year Same Period
TD06,TriMark Digital,TriMark Digital,TriMark Digital,Active,2,Echo,Professional Services,B2B,Monthly,Clicks,Previous Period
TD25,Waves Analytics,TriMark Digital,TriMark Digital,Active,2,Echo,Professional Services,B2B,Monthly,Clicks,Previous Period
TDV1,TriMark Video,TriMark Digital,TriMark Digital,Active,2,Echo,Professional Services,B2B,Monthly,Clicks,Previous Period
U001,UNC Health,UNC Health,UNC Health,Active,2,Echo,Golf,B2C,Monthly,Impressions,Last Year Same Period
U002,UST Mamiya,UST Mamiya,UST Mamiya,Active,2,Echo,Golf,B2C,Monthly,Sessions,Last Year Same Period
V001,Versa Technologies,Versa Technologies,Versa Technologies,Active,1,Echo,Professional Services,B2C,Monthly,Sessions,Last Year Same Period
V002,Veterinary Emergency Care,Veterinary Emergency Care,Veterinary Emergency Care,Active,2,Echo,Medical,B2C,Monthly,Sessions,Last Year Same Period
V003,Vitamin Shoppe,Vitamin Shoppe,Vitamin Shoppe,Active,2,Echo,Lifestyle,B2C,Monthly,,
W001,Window World of Akron,Window World,Window World Moran Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W002,Window World of Atlanta,Window World,Window World ATL Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W003,Window World of Austin,Window World,Window World of Austin/Grand Junction,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W004,Window World of Baton Rouge,Window World,Window World BTR Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Previous Period
W005,Window World of Cedar Rapids,Window World,Window World of Cedar Rapids,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W006,Window World of Central Alabama,Window World,Window World ATL Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W007,Window World of Central Florida (Orlando),Window World,Window World of Central Florida (Orlando),Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W008,Window World of Central Illinois,Window World,Window World STL Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W009,Window World of Central Louisiana,Window World,Window World of Central Louisiana,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W010,Window World of Columbia,Window World,Window World STL Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W011,Window World of Connecticut,Window World,Window World of Connecticut,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W012,Window World of CSRA (Augusta),Window World,Window World of CSRA (Augusta),Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W013,Window World of Dallas/Fort Worth,Window World,Window World BTR Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Previous Period
W014,Window World of Davenport,Window World,Window World of Davenport,Inactive,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W015,Window World of Denver,Window World,Window World of Denver,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W016,Window World of Des Moines,Window World,Window World of Des Moines,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W017,Window World of Detroit,Window World,Window World Moran Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W018,Window World of Grand Island,Window World,Window World of Grand Island,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W019,Window World of Grand Junction,Window World,Window World of Austin/Grand Junction,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W020,Window World of Houston,Window World,Window World BTR Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Previous Period
